"CODIGOMATERIA","MATERIA","CLASIFMATERIA","TIPOMATERIA","CARRERA","NIVEL","TIPO_MATERIA_MALLA"
ACUG1035       ,ACUICULTURA ORNAMENTAL,G,T,Acuicultura,"400I",M
ACUG1036       ,ANÁLISIS DE DATOS ACUÍCOLAS,G,R,Acuicultura,"200II",M
ACUG1039       ,CULTIVO DE ESPECIES NO TRADICIONALES,G,R,Acuicultura,"400I",M
ACUG1040       ,CULTIVO DE PLANCTON,G,R,Acuicultura,"300II",M
ACUG1041       ,ECOSISTEMAS ACUÍCOLAS,G,T,Acuicultura,"200I",M
ACUG1042       ,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,G,R,Acuicultura,"200II",M
ACUG1043       ,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,G,R,Acuicultura,"400I",M
ACUG1045       ,PRODUCCIÓN ACUÍCOLA II,G,R,Acuicultura,"400II",M
ACUG1046       ,PRODUCCIÓN ACUICOLA I,G,R,Acuicultura,"400I",M
ACUG1047       ,PISCICULTURA,G,R,Acuicultura,"400I",M
ACUG1048       ,SISTEMAS ACUÍCOLAS,G,R,Acuicultura,"300II",M
ACUG1049       ,INGENIERÍA PARA LA ACUICULTURA II,G,T,Acuicultura,"300II",M
ACUG1050       ,INGENIERÍA PARA LA ACUICULTURA I,G,T,Acuicultura,"300I",M
ACUG1051       ,NUTRICIÓN ACUÍCOLA,G,R,Acuicultura,"200II",M
ACUG1052       ,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,G,R,Acuicultura,"200II",M
ACUG1053       ,MANEJO ACUÍCOLA,G,R,Acuicultura,"200II",M
ACUG1054       ,INTRODUCCIÓN A LA ACUICULTURA,G,R,Acuicultura,"200I",M
ACUG1055       ,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,G,R,Acuicultura,"100II",M
ACUG1056       ,PATOLOGÍA ACUÍCOLA II,G,R,Acuicultura,"300II",M
ACUG1057       ,PATOLOGÍA ACUÍCOLA I,G,R,Acuicultura,"300I",M
ACUG1058       ,MATERIA INTEGRADORA DE ACUICULTURA,T,T,Acuicultura,"400II",M
ACUG1059       ,BUENAS PRÁCTICAS EN ACUICULTURA,G,R,Acuicultura,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Acuicultura,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Administración de Empresas,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Alimentos,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Arqueología,"200II",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Auditoría y Control de Gestión,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Biología,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Computación,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Diseño de Productos,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Diseño Gráfico,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Economía,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Electricidad,"300I",M
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,G,R,Electrónica y Automatización,"300I",M
