"CODIGOMATERIA","MATERIA","DIFICULTAD"
ACUG1035       ,ACUICULTURA ORNAMENTAL,8.59
ACUG1036       ,ANÁLISIS DE DATOS ACUÍCOLAS,7.88
ACUG1039       ,CULTIVO DE ESPECIES NO TRADICIONALES,8.72
ACUG1040       ,CULTIVO DE PLANCTON,8.29
ACUG1041       ,ECOSISTEMAS ACUÍCOLAS,7.57
ACUG1042       ,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,8.62
ACUG1043       ,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,8.09
ACUG1045       ,PRODUCCIÓN ACUÍCOLA II,8.44
ACUG1046       ,PRODUCCIÓN ACUICOLA I,8.62
ACUG1047       ,PISCICULTURA,8.78
ACUG1048       ,SISTEMAS ACUÍCOLAS,8.38
ACUG1049       ,INGENIERÍA PARA LA ACUICULTURA II,6.97
ACUG1050       ,INGENIERÍA PARA LA ACUICULTURA I,7.18
ACUG1051       ,NUTRICIÓN ACUÍCOLA,8.12
ACUG1052       ,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,8.46
ACUG1053       ,MANEJO ACUÍCOLA,7.45
ACUG1054       ,INTRODUCCIÓN A LA ACUICULTURA,8.02
ACUG1055       ,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,8.44
ACUG1056       ,PATOLOGÍA ACUÍCOLA II,8.00
ACUG1057       ,PATOLOGÍA ACUÍCOLA I,8.11
ACUG1058       ,MATERIA INTEGRADORA DE ACUICULTURA,9.47
ACUG1059       ,BUENAS PRÁCTICAS EN ACUICULTURA,8.98
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,8.26
ADMG1006       ,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,7.98
ADMG1007       ,ESTRATEGIAS DE GESTIÓN,7.92
ADMG2022       ,ADMINISTRACIÓN DE OPERACIONES,7.71
ADMG2024       ,COMERCIO EXTERIOR,7.66
ADMG2025       ,COMPORTAMIENTO ORGANIZACIONAL,8.63
ADMG2026       ,DESARROLLO ORGANIZACIONAL,9.13
ADMG2028       ,ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,7.76
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,8.24
ADMG2030       ,FUNDAMENTOS DE MARKETING,8.55
ADMG2031       ,MATERIA INTEGRADORA DE ADMINISTRACIÓN DE EMPRESAS,9.38
ADMG2032       ,GESTIÓN COMERCIAL,8.46
ADMG2033       ,GESTIÓN DE MARKETING,8.72
ADMG2034       ,GESTIÓN DE RECURSOS HUMANOS,8.55
ADMG2035       ,INVESTIGACIÓN DE MERCADOS,7.58
