"CODIGOMATERIA","MATERIA","DIFICULTAD"
ACUG1035       ,ACUICULTURA ORNAMENTAL,8.51
ACUG1036       ,ANÁLISIS DE DATOS ACUÍCOLAS,7.71
ACUG1039       ,CULTIVO DE ESPECIES NO TRADICIONALES,8.63
ACUG1040       ,CULTIVO DE PLANCTON,8.23
ACUG1041       ,ECOSISTEMAS ACUÍCOLAS,7.41
ACUG1042       ,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,8.38
ACUG1043       ,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,7.81
ACUG1045       ,PRODUCCIÓN ACUÍCOLA II,8.30
ACUG1046       ,PRODUCCIÓN ACUICOLA I,8.61
ACUG1047       ,PISCICULTURA,8.78
ACUG1048       ,SISTEMAS ACUÍCOLAS,8.38
ACUG1049       ,INGENIERÍA PARA LA ACUICULTURA II,6.79
ACUG1050       ,INGENIERÍA PARA LA ACUICULTURA I,6.64
ACUG1051       ,NUTRICIÓN ACUÍCOLA,7.91
ACUG1052       ,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,8.46
ACUG1053       ,MANEJO ACUÍCOLA,7.19
ACUG1054       ,INTRODUCCIÓN A LA ACUICULTURA,7.82
ACUG1055       ,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,8.34
ACUG1056       ,PATOLOGÍA ACUÍCOLA II,7.86
ACUG1057       ,PATOLOGÍA ACUÍCOLA I,8.11
ACUG1058       ,MATERIA INTEGRADORA DE ACUICULTURA,9.47
ACUG1059       ,BUENAS PRÁCTICAS EN ACUICULTURA,8.80
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,8.17
ADMG1006       ,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,7.91
ADMG1007       ,ESTRATEGIAS DE GESTIÓN,7.83
ADMG2022       ,ADMINISTRACIÓN DE OPERACIONES,7.18
ADMG2024       ,COMERCIO EXTERIOR,7.63
ADMG2025       ,COMPORTAMIENTO ORGANIZACIONAL,8.58
ADMG2026       ,DESARROLLO ORGANIZACIONAL,9.13
ADMG2028       ,ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,7.65
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,8.10
ADMG2030       ,FUNDAMENTOS DE MARKETING,8.35
ADMG2031       ,MATERIA INTEGRADORA DE ADMINISTRACIÓN DE EMPRESAS,9.22
ADMG2032       ,GESTIÓN COMERCIAL,8.44
ADMG2033       ,GESTIÓN DE MARKETING,8.69
ADMG2034       ,GESTIÓN DE RECURSOS HUMANOS,8.50
ADMG2035       ,INVESTIGACIÓN DE MERCADOS,7.27
ADMG2036       ,PLANIFICACIÓN ESTRATÉGICA,8.37
ADMG2037       ,GESTIÓN DE PROYECTOS,8.65
ADMT3004       ,LIDERAZGO Y EMPRENDIMIENTO,8.67
ADMT3005       ,COMERCIO EXTERIOR,7.89
ADSG1019       ,CONTAMINACIÓN AMBIENTAL,8.52
ADSG1020       ,ECOLOGÍA ACUÁTICA,8.39
ADSG1021       ,ECOLOGÍA DE ECOSISTEMAS,8.65
ADSG1022       ,ECOLOGÍA GENERAL,8.21
