"CODIGOMATERIA","MATERIA","REPROBADOS","REGISTRADOS","TASA_RP"
DING2037       ,PORTAFOLIO,4,74,5.41
ACUG1035       ,ACUICULTURA ORNAMENTAL,1,104,0.96
ACUG1036       ,ANÁLISIS DE DATOS ACUÍCOLAS,2,91,2.20
ACUG1039       ,CULTIVO DE ESPECIES NO TRADICIONALES,1,80,1.25
ACUG1040       ,CULTIVO DE PLANCTON,1,68,1.47
ACUG1041       ,ECOSISTEMAS ACUÍCOLAS,5,74,6.76
ACUG1042       ,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,2,70,2.86
ACUG1043       ,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,7,116,6.03
ACUG1045       ,PRODUCCIÓN ACUÍCOLA II,2,121,1.65
ACUG1046       ,PRODUCCIÓN ACUICOLA I,0,99,0.00
ACUG1047       ,PISCICULTURA,0,90,0.00
ACUG1048       ,SISTEMAS ACUÍCOLAS,0,96,0.00
ACUG1049       ,INGENIERÍA PARA LA ACUICULTURA II,4,90,4.44
ACUG1050       ,INGENIERÍA PARA LA ACUICULTURA I,24,105,22.86
ACUG1051       ,NUTRICIÓN ACUÍCOLA,3,89,3.37
ACUG1052       ,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,0,64,0.00
ACUG1053       ,MANEJO ACUÍCOLA,2,58,3.45
ACUG1054       ,INTRODUCCIÓN A LA ACUICULTURA,2,68,2.94
ACUG1055       ,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,1,82,1.22
ACUG1056       ,PATOLOGÍA ACUÍCOLA II,2,85,2.35
ACUG1057       ,PATOLOGÍA ACUÍCOLA I,0,70,0.00
ACUG1058       ,MATERIA INTEGRADORA DE ACUICULTURA,0,123,0.00
ACUG1059       ,BUENAS PRÁCTICAS EN ACUICULTURA,2,87,2.30
ADMG1005       ,EMPRENDIMIENTO E INNOVACIÓN,155,7747,2.00
ADMG1006       ,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,2,165,1.21
ADMG1007       ,ESTRATEGIAS DE GESTIÓN,2,176,1.14
ADMG2022       ,ADMINISTRACIÓN DE OPERACIONES,133,900,14.78
ADMG2024       ,COMERCIO EXTERIOR,3,429,0.70
ADMG2025       ,COMPORTAMIENTO ORGANIZACIONAL,9,917,0.98
ADMG2026       ,DESARROLLO ORGANIZACIONAL,0,428,0.00
ADMG2028       ,ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,12,456,2.63
ADMG2029       ,FUNDAMENTOS DE ADMINISTRACIÓN,58,1941,2.99
ADMG2030       ,FUNDAMENTOS DE MARKETING,34,1004,3.39
ADMG2031       ,MATERIA INTEGRADORA DE ADMINISTRACIÓN DE EMPRESAS,7,420,1.67
ADMG2032       ,GESTIÓN COMERCIAL,1,455,0.22
ADMG2033       ,GESTIÓN DE MARKETING,2,391,0.51
ADMG2034       ,GESTIÓN DE RECURSOS HUMANOS,5,627,0.80
ADMG2035       ,INVESTIGACIÓN DE MERCADOS,121,1328,9.11
ADMG2036       ,PLANIFICACIÓN ESTRATÉGICA,5,414,1.21
ADMG2037       ,GESTIÓN DE PROYECTOS,1,679,0.15
ADMT3004       ,LIDERAZGO Y EMPRENDIMIENTO,0,36,0.00
ADMT3005       ,COMERCIO EXTERIOR,0,16,0.00
ADSG1019       ,CONTAMINACIÓN AMBIENTAL,0,174,0.00
ADSG1020       ,ECOLOGÍA ACUÁTICA,3,145,2.07
ADSG1021       ,ECOLOGÍA DE ECOSISTEMAS,4,199,2.01
ADSG1022       ,ECOLOGÍA GENERAL,5,194,2.58
ADSG1023       ,REMEDIACIÓN AMBIENTAL,0,119,0.00
ADSG1024       ,PRINCIPIOS DE ECOTOXICOLOGÍA,2,189,1.06
