COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO
201160178,ACUG1035,AP,1,87,93,"9,00","7,90",53.0,59.0,64.0,"6,83",47.0,"7,06",,N,"5,14","4,25","5,35",0,0,2,1,0,
201310353,ACUG1035,AP,1,85,89,"8,70","7,90",59.0,61.0,74.0,"7,48",51.0,"7,94",14.0,S,"4,16","5,20","5,15",0,0,2,1,0,
201313869,ACUG1035,AP,1,86,89,"8,75","7,90",59.0,56.0,67.0,"6,97",50.0,"7,45",13.0,S,"4,27","4,30","4,80",0,1,1,0,1,
201507649,ACUG1035,AP,1,83,93,"8,80","7,90",49.0,65.0,74.0,"7,73",47.0,"7,93",11.0,N,"3,01",,,0,0,2,2,0,
201607884,ACUG1035,AP,1,95,95,"9,50","7,90",39.0,72.0,77.0,"8,02",39.0,"8,02",8.0,N,,,,0,1,1,1,0,
201507629,ACUG1035,AP,1,90,97,"9,35","7,90",50.0,68.0,74.0,"7,75",49.0,"7,83",11.0,N,"3,80",,,1,0,2,0,0,
201507689,ACUG1035,AP,1,89,100,"9,45","7,90",48.0,70.0,77.0,"8,00",47.0,"8,13",10.0,N,"1,85",,,0,0,2,1,0,
201418599,ACUG1035,AP,1,80,91,"8,55","7,90",55.0,58.0,66.0,"6,93",47.0,"7,37",12.0,N,"4,33",,,0,1,1,1,0,
201314594,ACUG1035,AP,1,92,92,"9,20","7,90",58.0,58.0,70.0,"7,23",52.0,"7,58",13.0,N,"3,87","5,45",,0,1,1,1,0,
201507619,ACUG1035,AP,1,89,100,"9,45","7,90",47.0,62.0,73.0,"7,53",44.0,"7,72",10.0,N,"4,68",,,0,1,1,0,0,
201314035,ACUG1035,AP,1,60,80,"7,00","7,90",60.0,56.0,67.0,"6,87",48.0,"7,41",14.0,N,"4,64","4,81",,0,0,2,1,0,
201407003,ACUG1035,AP,1,86,87,"8,65","7,90",61.0,61.0,70.0,"7,21",53.0,"7,54",13.0,N,"4,92","5,48",,0,1,1,1,0,
201410392,ACUG1035,AP,1,86,87,"8,65","7,90",55.0,51.0,65.0,"6,73",46.0,"7,37",13.0,N,"3,92","2,59",,0,1,1,1,0,
201507669,ACUG1035,AP,1,81,87,"8,40","7,90",50.0,70.0,75.0,"7,96",48.0,"8,06",10.0,N,"5,45",,,0,0,1,1,0,
201502684,ACUG1035,AP,1,92,88,"9,00","7,90",53.0,59.0,70.0,"7,38",49.0,"7,57",12.0,N,"5,13","4,86",,0,1,1,1,0,
201403439,ACUG1036,AP,1,86,91,"8,83","6,74",49.0,51.0,67.0,"6,83",36.0,"7,70",14.0,S,"4,37","4,75","4,05",0,0,0,2,2,
201403624,ACUG1036,AP,1,61,82,"7,49","6,74",50.0,56.0,59.0,"6,35",34.0,"7,33",13.0,S,"4,08","4,69","5,50",0,1,1,0,3,
201405193,ACUG1036,AP,1,74,81,"8,15","6,74",54.0,56.0,64.0,"6,68",39.0,"7,42",13.0,S,"4,71","5,15","4,90",0,1,0,1,2,
201419568,ACUG1036,AP,1,85,84,"8,55","6,74",48.0,46.0,52.0,"5,69",30.0,"6,87",12.0,S,"3,44","4,24","4,85",0,0,0,1,3,
201418607,ACUG1036,AP,1,85,91,"9,07","6,74",50.0,56.0,69.0,"7,22",41.0,"7,76",13.0,N,"4,74","4,91",,0,1,0,0,3,
201409109,ACUG1036,AP,1,80,80,"8,00","6,74",50.0,56.0,67.0,"7,08",43.0,"7,50",12.0,N,"4,50",,,0,0,0,2,1,
201807286,ACUG1036,RP,1,0,0,"0,90","6,74",22.0,68.0,65.0,"7,33",20.0,"7,50",5.0,N,"5,69",,,0,0,1,0,4,
201813698,ACUG1036,AP,1,85,90,"9,06","6,74",18.0,71.0,75.0,"7,66",18.0,"7,66",5.0,N,,,,0,0,0,2,3,
201611571,ACUG1036,AP,1,82,71,"7,90","6,74",31.0,60.0,68.0,"7,13",25.0,"7,58",8.0,N,"5,42","4,40",,0,0,1,0,3,
201419089,ACUG1036,AP,1,78,87,"8,53","6,74",54.0,57.0,68.0,"6,96",46.0,"7,43",12.0,N,"4,76","5,44",,0,1,0,0,1,
201514093,ACUG1036,AP,1,65,82,"7,72","6,74",35.0,52.0,57.0,"6,55",26.0,"7,33",9.0,N,"4,03","5,11",,0,0,0,2,3,
201516345,ACUG1036,AP,1,80,52,"7,44","6,74",45.0,51.0,59.0,"6,40",32.0,"7,36",11.0,N,"4,05",,,0,0,0,1,4,
201514161,ACUG1036,AP,1,65,85,"8,07","6,74",47.0,52.0,62.0,"6,52",38.0,"7,04",10.0,N,"4,19","5,46",,0,2,0,1,2,
200832244,ACUG1036,AP,1,68,80,"7,91","6,74",42.0,47.0,55.0,"6,08",25.0,"7,15",,N,"4,47","4,60",,0,0,1,2,1,
201514111,ACUG1036,AP,1,74,86,"8,36","6,74",34.0,62.0,64.0,"6,89",27.0,"7,42",10.0,N,"4,79","4,98",,0,0,0,2,3,
201606829,ACUG1036,AP,1,88,80,"8,55","6,74",30.0,64.0,70.0,"7,39",26.0,"7,82",7.0,N,"4,20","5,64",,0,0,1,0,3,
201413291,ACUG1036,AP,1,84,87,"8,83","6,74",56.0,60.0,69.0,"7,29",49.0,"7,72",12.0,N,"4,35","4,17",,0,1,0,0,1,
201506063,ACUG1036,AP,1,74,84,"8,26","6,74",40.0,54.0,64.0,"6,69",30.0,"7,35",11.0,N,"4,64","4,89",,0,0,0,1,3,
201514209,ACUG1036,AP,1,67,81,"8,03","6,74",47.0,63.0,72.0,"7,37",43.0,"7,66",10.0,N,"4,25",,,0,1,0,0,2,
201614807,ACUG1036,AP,1,74,74,"7,97","6,74",33.0,55.0,62.0,"6,44",27.0,"7,02",8.0,N,"4,01","2,96",,0,0,1,0,4,
201222292,ACUG1036,AP,1,66,78,"7,80","6,74",26.0,56.0,56.0,"6,08",20.0,"7,57",,N,"1,15",,,0,0,0,1,3,
201603388,ACUG1036,AP,1,77,85,"8,31","6,74",35.0,63.0,67.0,"7,14",31.0,"7,59",9.0,N,"3,70",,,0,0,0,2,1,
201403624,ACUG1039,AP,1,90,88,"8,99","8,32",50.0,56.0,59.0,"6,35",34.0,"7,33",13.0,S,"4,08","4,69","5,50",0,1,1,0,3,
201132261,ACUG1039,AP,1,90,100,"9,56","8,32",48.0,42.0,39.0,"4,63",27.0,"7,09",,N,"1,67","1,20",,0,1,1,2,1,
201610995,ACUG1039,AP,1,93,95,"9,52","8,32",39.0,68.0,72.0,"7,43",35.0,"7,76",10.0,N,"4,61",,,0,1,1,1,2,
201514161,ACUG1039,AP,1,85,93,"8,93","8,32",47.0,52.0,62.0,"6,52",38.0,"7,04",10.0,N,"4,19","5,46",,0,2,0,1,2,
201600855,ACUG1039,AP,1,88,85,"8,84","8,32",42.0,59.0,65.0,"6,85",36.0,"7,25",9.0,N,"4,49",,,0,1,2,1,2,
201103529,ACUG1040,AP,1,91,83,"8,67","7,88",47.0,52.0,56.0,"5,87",30.0,"7,11",,N,"3,69","3,03","5,45",0,0,3,0,1,
201603925,ACUG1040,AP,1,93,92,"9,17","7,88",39.0,70.0,79.0,"8,06",38.0,"8,11",9.0,N,"5,85",,,0,0,3,1,1,
201606829,ACUG1040,AP,1,89,89,"8,63","7,88",30.0,64.0,70.0,"7,39",26.0,"7,82",7.0,N,"4,20","5,64",,0,0,1,0,3,
201606837,ACUG1040,AP,1,92,82,"8,55","7,88",31.0,66.0,70.0,"7,43",27.0,"7,77",8.0,N,"5,05","5,38",,0,0,1,0,2,
201614807,ACUG1040,AP,1,86,70,"7,71","7,88",33.0,55.0,62.0,"6,44",27.0,"7,02",8.0,N,"4,01","2,96",,0,0,1,0,4,
201708047,ACUG1041,AP,1,54,86,"7,00","7,31",18.0,51.0,51.0,"5,49",8.0,"7,44",6.0,N,"3,27","5,49",,0,0,0,1,3,
201607918,ACUG1041,AP,1,92,90,"9,10","7,31",15.0,71.0,66.0,"7,14",13.0,"7,76",8.0,N,"3,08",,,0,0,0,1,0,
200909794,ACUG1042,AP,1,93,83,"9,04","7,24",44.0,41.0,46.0,"5,08",18.0,"6,84",,N,"4,24","3,66","3,03",0,0,0,1,4,
201406182,ACUG1042,AP,1,82,83,"8,77","7,24",38.0,50.0,55.0,"6,08",25.0,"7,23",13.0,S,"2,81","5,06","5,18",0,0,0,1,2,
