COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO,CODIGOMATERIA,MATERIA
202001269,ACUG1035,AC,1,0,0,"0,00","7,90",37.0,71.0,72.0,"7,49",34.0,"7,67",11.0,N,"5,44",,,0,1,1,0,1,"7,67",ACUG1035,ACUICULTURA ORNAMENTAL
201905072,ACUG1035,AC,1,0,0,"0,00","7,90",49.0,61.0,55.0,"6,21",35.0,"7,43",13.0,N,"3,22","2,92",,0,2,1,0,1,"7,43",ACUG1035,ACUICULTURA ORNAMENTAL
201700333,ACUG1035,AC,1,0,0,"0,00","7,90",50.0,72.0,68.0,"7,27",44.0,"7,58",11.0,N,"5,02",,,0,1,2,1,0,"7,58",ACUG1035,ACUICULTURA ORNAMENTAL
202110706,ACUG1035,AC,1,0,0,"0,00","7,90",37.0,75.0,79.0,"7,97",36.0,"8,03",10.0,N,"5,65",,,0,1,1,1,0,"8,05",ACUG1035,ACUICULTURA ORNAMENTAL
201900164,ACUG1035,AC,1,0,0,"0,00","7,90",45.0,63.0,58.0,"6,64",34.0,"7,57",13.0,N,"3,80","3,69",,0,0,1,1,2,"7,60",ACUG1035,ACUICULTURA ORNAMENTAL
202101119,ACUG1035,AC,1,0,0,"0,00","7,90",38.0,68.0,70.0,"7,37",34.0,"7,70",10.0,N,"4,54",,,0,1,1,0,1,"7,70",ACUG1035,ACUICULTURA ORNAMENTAL
202213625,ACUG1035,AC,1,0,0,"0,00","7,90",31.0,75.0,74.0,"7,74",30.0,"7,82",7.0,N,"5,57",,,0,0,3,0,1,"7,82",ACUG1035,ACUICULTURA ORNAMENTAL
201904786,ACUG1035,AC,1,0,0,"0,00","7,90",48.0,69.0,72.0,"7,44",42.0,"7,92",15.0,N,"3,86","5,48",,0,2,1,1,0,"7,92",ACUG1035,ACUICULTURA ORNAMENTAL
201105723,ACUG1036,AC,1,0,0,"0,00","6,74",43.0,40.0,36.0,"4,19",21.0,"7,39",,N,"1,05","1,10","1,53",0,0,0,0,4,"7,34",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202213559,ACUG1036,AC,1,0,0,"0,00","6,74",24.0,71.0,71.0,"7,50",21.0,"7,85",7.0,N,"4,83","5,48",,0,0,0,1,3,"8,05",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202108973,ACUG1036,AC,1,0,0,"0,00","6,74",31.0,60.0,63.0,"6,73",25.0,"7,27",9.0,N,"4,28","5,48",,0,0,0,1,4,"7,27",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202200960,ACUG1036,AC,1,0,0,"0,00","6,74",27.0,63.0,57.0,"6,46",20.0,"7,23",8.0,N,"3,79","5,46",,0,0,0,1,3,"7,24",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202207189,ACUG1036,AC,1,0,0,"0,00","6,74",28.0,64.0,62.0,"6,82",24.0,"7,12",8.0,N,"5,03",,,0,0,0,1,4,"7,12",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202310033,ACUG1036,AC,1,0,0,"0,00","6,74",19.0,78.0,73.0,"7,60",18.0,"7,72",5.0,N,"5,45",,,0,0,0,2,3,"7,78",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202215349,ACUG1036,AC,1,0,0,"0,00","6,74",27.0,69.0,71.0,"7,46",25.0,"7,78",8.0,N,"3,56",,,0,0,0,2,2,"7,78",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202316402,ACUG1036,AC,1,0,0,"0,00","6,74",19.0,70.0,76.0,"7,67",19.0,"7,67",7.0,N,,,,0,0,0,1,4,"7,67",ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
