"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"200713998","2023","1S",10,66.20
"202107132","2023","1S",15,24.00
"202004990","2023","1S",24,161.67
"202205381","2023","1S",24,147.00
"202207155","2023","1S",24,121.74
"202216099","2023","1S",24,147.30
"202216206","2023","1S",24,173.40
"202250023","2023","1S",24,183.30
"201169530","2023","1S",27,112.59
"202206991","2023","1S",27,207.00
"202207130","2023","1S",27,119.88
"202207163","2023","1S",27,147.96
"202207247","2023","1S",27,186.30
"202207353","2023","1S",27,211.77
"202207460","2023","1S",27,184.86
"202207551","2023","1S",27,159.48
"202208294","2023","1S",27,154.62
"202208302","2023","1S",27,212.67
"202208328","2023","1S",27,205.38
"202208674","2023","1S",27,211.23
"202208765","2023","1S",27,119.70
"202208823","2023","1S",27,154.08
"202209227","2023","1S",27,224.55
"202209243","2023","1S",27,230.22
"202209425","2023","1S",27,189.09
"202209482","2023","1S",27,148.23
"202210621","2023","1S",27,159.30
"202210647","2023","1S",27,136.44
"202210902","2023","1S",27,138.33
"202211074","2023","1S",27,164.79
"202211819","2023","1S",27,134.46
"202211850","2023","1S",27,204.12
"202212049","2023","1S",27,226.44
"202212197","2023","1S",27,161.73
"202212494","2023","1S",27,190.62
"202213138","2023","1S",27,197.37
"202213179","2023","1S",27,153.36
"202213492","2023","1S",27,72.63
"202213831","2023","1S",27,161.28
"202214037","2023","1S",27,199.62
"202214052","2023","1S",27,126.27
"202214060","2023","1S",27,135.90
"202214102","2023","1S",27,134.37
"202214136","2023","1S",27,180.09
"202214797","2023","1S",27,198.09
"202214805","2023","1S",27,218.43
"202215315","2023","1S",27,88.56
"202215422","2023","1S",27,216.27
"202215588","2023","1S",27,140.94
"202215620","2023","1S",27,151.74
"202215711","2023","1S",27,175.32
"202215935","2023","1S",27,162.36
"202216065","2023","1S",27,178.02
"202216123","2023","1S",27,151.92
"202216172","2023","1S",27,164.61
"202250015","2023","1S",27,175.59
"200711786","2023","1S",28,106.14
"202204434","2023","1S",30,149.82
"202207056","2023","1S",30,255.72
"202209060","2023","1S",30,215.46
"202210431","2023","1S",30,194.43
"202210951","2023","1S",30,184.02
"202214086","2023","1S",30,186.78
"202207049","2023","1S",33,219.27
"202207106","2023","1S",33,193.08
"202207122","2023","1S",33,170.85
"202207445","2023","1S",33,246.06
"202207494","2023","1S",33,232.95
"202207718","2023","1S",33,227.01
"202207973","2023","1S",33,202.23
"202208070","2023","1S",33,233.40
"202208096","2023","1S",33,230.73
"202208401","2023","1S",33,225.81
"202208732","2023","1S",33,255.24
"202208930","2023","1S",33,257.70
"202209045","2023","1S",33,297.63
"202209052","2023","1S",33,195.51
"202209086","2023","1S",33,253.80
"202209144","2023","1S",33,180.66
"202209151","2023","1S",33,245.25
"202209334","2023","1S",33,259.23
"202209375","2023","1S",33,268.14
"202209383","2023","1S",33,192.12
"202210118","2023","1S",33,256.56
"202210589","2023","1S",33,197.73
"202210829","2023","1S",33,164.19
"202210837","2023","1S",33,211.98
"202211041","2023","1S",33,272.37
"202211066","2023","1S",33,292.11
"202211181","2023","1S",33,222.45
"202211207","2023","1S",33,188.64
"202211215","2023","1S",33,272.94
"202211272","2023","1S",33,226.89
"202211363","2023","1S",33,233.22
"202211397","2023","1S",33,166.29
"202211405","2023","1S",33,238.83
"202211413","2023","1S",33,223.20
"202211504","2023","1S",33,219.42
"202211587","2023","1S",33,215.43
"202211603","2023","1S",33,265.14
"202211645","2023","1S",33,260.04
"202211710","2023","1S",33,235.05
"202211736","2023","1S",33,215.76
"202211785","2023","1S",33,231.63
"202211827","2023","1S",33,234.90
"202211843","2023","1S",33,224.58
"202211934","2023","1S",33,261.66
"202212007","2023","1S",33,224.28
"202212031","2023","1S",33,241.65
"202212106","2023","1S",33,206.40
"202212148","2023","1S",33,302.64
"202212304","2023","1S",33,288.09
"202212452","2023","1S",33,259.41
"202212619","2023","1S",33,203.70
"202212866","2023","1S",33,255.06
"202212973","2023","1S",33,214.56
"202212999","2023","1S",33,265.02
"202213054","2023","1S",33,280.56
"202213153","2023","1S",33,135.78
"202213195","2023","1S",33,202.47
"202213203","2023","1S",33,226.14
"202213245","2023","1S",33,188.40
"202213278","2023","1S",33,155.91
"202213310","2023","1S",33,274.08
"202213369","2023","1S",33,212.37
"202213385","2023","1S",33,240.69
"202213435","2023","1S",33,244.47
"202213609","2023","1S",33,191.79
"202213781","2023","1S",33,267.15
"202213880","2023","1S",33,225.33
"202214045","2023","1S",33,178.92
"202214623","2023","1S",33,235.83
"202214763","2023","1S",33,134.10
"202215216","2023","1S",33,197.61
"202215224","2023","1S",33,152.52
"202215349","2023","1S",33,158.97
"202215364","2023","1S",33,183.99
"202215596","2023","1S",33,216.72
"202215679","2023","1S",33,203.85
"202215737","2023","1S",33,272.34
"202215745","2023","1S",33,295.02
"202215869","2023","1S",33,264.18
"200209617","2023","1S",35,186.77
"202010575","2023","1S",36,55.89
"202200929","2023","1S",36,163.08
"202204988","2023","1S",36,267.84
"202205944","2023","1S",36,74.61
"202207189","2023","1S",36,225.09
"202207213","2023","1S",36,267.03
"202207221","2023","1S",36,208.80
"202207270","2023","1S",36,218.79
"202207296","2023","1S",36,271.08
"202207338","2023","1S",36,151.83
"202207528","2023","1S",36,231.66
"202207536","2023","1S",36,221.22
"202207544","2023","1S",36,262.53
"202207585","2023","1S",36,181.89
"202207593","2023","1S",36,128.70
"202207601","2023","1S",36,108.81
"202207676","2023","1S",36,259.29
"202207882","2023","1S",36,238.23
"202207957","2023","1S",36,274.50
"202208088","2023","1S",36,184.14
"202208187","2023","1S",36,191.61
"202208344","2023","1S",36,147.60
"202208427","2023","1S",36,314.91
"202208567","2023","1S",36,236.52
"202208716","2023","1S",36,280.74
"202208724","2023","1S",36,209.52
"202208799","2023","1S",36,181.71
"202208880","2023","1S",36,313.74
"202209136","2023","1S",36,243.45
"202209185","2023","1S",36,224.64
"202209201","2023","1S",36,257.34
"202209219","2023","1S",36,253.80
"202209268","2023","1S",36,138.06
"202209441","2023","1S",36,115.11
"202209474","2023","1S",36,161.19
"202209490","2023","1S",36,146.97
"202209524","2023","1S",36,264.39
"202209540","2023","1S",36,261.33
"202209557","2023","1S",36,279.96
"202209599","2023","1S",36,282.60
"202209615","2023","1S",36,292.47
"202209706","2023","1S",36,296.40
"202209722","2023","1S",36,259.68
"202209821","2023","1S",36,261.15
"202209854","2023","1S",36,263.16
"202209870","2023","1S",36,275.49
"202209904","2023","1S",36,297.36
"202209953","2023","1S",36,294.87
"202209987","2023","1S",36,296.28
"202210027","2023","1S",36,286.14
"202210035","2023","1S",36,199.89
"202210043","2023","1S",36,276.96
"202210050","2023","1S",36,292.11
"202210076","2023","1S",36,302.07
"202210084","2023","1S",36,288.54
"202210142","2023","1S",36,315.06
"202210159","2023","1S",36,300.27
"202210167","2023","1S",36,272.19
"202210175","2023","1S",36,305.10
"202210209","2023","1S",36,267.06
"202210217","2023","1S",36,285.69
"202210241","2023","1S",36,305.97
"202210258","2023","1S",36,277.89
"202210324","2023","1S",36,253.86
"202210340","2023","1S",36,260.10
"202210381","2023","1S",36,244.05
"202210472","2023","1S",36,257.16
"202210480","2023","1S",36,294.54
"202210605","2023","1S",36,245.43
"202210738","2023","1S",36,151.92
"202210746","2023","1S",36,211.77
"202210878","2023","1S",36,208.44
"202210993","2023","1S",36,198.99
"202211108","2023","1S",36,191.16
"202211173","2023","1S",36,199.62
"202211298","2023","1S",36,276.03
"202211330","2023","1S",36,180.90
"202211611","2023","1S",36,200.88
"202212783","2023","1S",36,177.84
"202212841","2023","1S",36,272.52
"202212981","2023","1S",36,264.51
"202213120","2023","1S",36,266.49
"202213401","2023","1S",36,212.13
"202213468","2023","1S",36,243.36
"202213500","2023","1S",36,210.87
"202213542","2023","1S",36,230.40
"202213567","2023","1S",36,194.85
"202213583","2023","1S",36,103.32
"202213617","2023","1S",36,204.21
"202213625","2023","1S",36,230.31
"202213641","2023","1S",36,253.53
"202213658","2023","1S",36,232.02
"202213682","2023","1S",36,209.43
"202213690","2023","1S",36,228.69
"202213708","2023","1S",36,250.92
"202213732","2023","1S",36,185.31
"202213799","2023","1S",36,225.63
"202213807","2023","1S",36,251.28
"202213906","2023","1S",36,309.15
"202213914","2023","1S",36,194.58
"202213922","2023","1S",36,236.52
"202214078","2023","1S",36,221.61
"202214177","2023","1S",36,143.91
"202214185","2023","1S",36,217.17
"202214193","2023","1S",36,88.92
"202214201","2023","1S",36,222.48
"202214219","2023","1S",36,238.32
"202214284","2023","1S",36,284.67
"202214326","2023","1S",36,242.37
"202214391","2023","1S",36,273.42
"202214417","2023","1S",36,240.03
"202214466","2023","1S",36,234.18
"202214474","2023","1S",36,268.56
"202214508","2023","1S",36,274.32
"202214607","2023","1S",36,247.41
"202214631","2023","1S",36,221.31
"202214664","2023","1S",36,179.73
"202214698","2023","1S",36,200.34
"202214706","2023","1S",36,200.34
"202214714","2023","1S",36,130.68
"202214730","2023","1S",36,241.65
"202214789","2023","1S",36,239.31
"202214821","2023","1S",36,184.86
"202214839","2023","1S",36,190.98
"202214847","2023","1S",36,218.25
"202214870","2023","1S",36,253.53
"202214938","2023","1S",36,178.56
"202214961","2023","1S",36,267.48
"202215018","2023","1S",36,223.29
"202215026","2023","1S",36,165.06
"202215034","2023","1S",36,191.97
"202215059","2023","1S",36,170.28
"202215158","2023","1S",36,240.12
"202215166","2023","1S",36,275.76
"202215190","2023","1S",36,219.06
