"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"202370094","2023","2S",9,60.12
"202390092","2023","2S",9,60.03
"202390100","2023","2S",9,75.15
"202316758","2023","2S",12,88.56
"202318341","2023","2S",12,78.90
"200124667","2023","2S",18,89.73
"202316956","2023","2S",18,140.58
"202212163","2023","2S",24,82.77
"202316337","2023","2S",24,97.47
"202316543","2023","2S",24,143.73
"202308797","2023","2S",27,193.95
"202309357","2023","2S",27,204.75
"202309902","2023","2S",27,176.94
"202310025","2023","2S",27,188.91
"202310132","2023","2S",27,150.48
"202310157","2023","2S",27,180.18
"202310173","2023","2S",27,171.36
"202310272","2023","2S",27,177.93
"202310298","2023","2S",27,125.73
"202310348","2023","2S",27,201.87
"202310363","2023","2S",27,186.39
"202310454","2023","2S",27,161.37
"202310587","2023","2S",27,179.91
"202310595","2023","2S",27,218.19
"202310652","2023","2S",27,162.90
"202310686","2023","2S",27,226.35
"202310728","2023","2S",27,180.45
"202311023","2023","2S",27,187.20
"202311031","2023","2S",27,233.43
"202311270","2023","2S",27,176.13
"202311320","2023","2S",27,87.57
"202311460","2023","2S",27,187.56
"202311791","2023","2S",27,216.63
"202311817","2023","2S",27,179.19
"202311882","2023","2S",27,221.31
"202312005","2023","2S",27,161.37
"202312039","2023","2S",27,194.04
"202312054","2023","2S",27,207.36
"202312229","2023","2S",27,144.99
"202312369","2023","2S",27,183.33
"202312542","2023","2S",27,109.89
"202312567","2023","2S",27,231.21
"202312633","2023","2S",27,141.75
"202312674","2023","2S",27,178.11
"202312690","2023","2S",27,137.61
"202312807","2023","2S",27,201.06
"202312856","2023","2S",27,215.64
"202312914","2023","2S",27,171.90
"202312955","2023","2S",27,174.69
"202313177","2023","2S",27,132.21
"202313276","2023","2S",27,158.76
"202313474","2023","2S",27,84.87
"202313508","2023","2S",27,137.61
"202313532","2023","2S",27,195.75
"202313599","2023","2S",27,207.27
"202313748","2023","2S",27,198.18
"202313839","2023","2S",27,164.70
"202313888","2023","2S",27,192.51
"202313904","2023","2S",27,159.66
"202313953","2023","2S",27,199.89
"202314043","2023","2S",27,147.69
"202314050","2023","2S",27,199.26
"202314159","2023","2S",27,188.37
"202314423","2023","2S",27,142.11
"202314522","2023","2S",27,175.95
"202314969","2023","2S",27,158.40
"202315156","2023","2S",27,179.82
"202315297","2023","2S",27,249.48
"202315453","2023","2S",27,33.84
