COD_ESTUDIANTE,COD_MATERIA_ACAD_MO,ESTADO_MAT_TOMADA_MO,VEZ_TOMADA_MO,NOTA1_MO,NOTA2MO,PROMEDIO_MO,DIFICULTAD_MO,T_MAT_TOMADAS,PROM_1PARCIAL,PROM_2PARCIAL,PROM_CALIFICACIONES,MAT_APROBADAS,PROM_CALIF_APROBADAS,TERMINOS_REGISTRADOS,PERDIO_CARRERA,PROM_MAT_REPROBADAS1,PROM_MAT_REPROBADAS2,PROM_MAT_REPROBADAS3,MUY_FACIL,FACIL,MODERADA,DIFICIL,MUY_DIFICIL,GPA_ULTIMO,CODIGOMATERIA,MATERIA
201406182,ACUG1035,AP,1,83,96,"8,95","7,90",51.0,57.0,61.0,"6,63",38.0,"7,58",15,S,"2,81","5,06","5,18",0,1,1,0,1,,ACUG1035,ACUICULTURA ORNAMENTAL
201411732,ACUG1035,AP,1,86,90,"8,80","7,90",56.0,60.0,69.0,"7,25",48.0,"7,72",15,N,"4,41","4,45",,0,0,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201813698,ACUG1035,AP,1,88,100,"9,40","7,90",34.0,79.0,81.0,"8,32",34.0,"8,32",8,N,,,,0,0,2,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201705829,ACUG1035,AP,1,70,74,"7,20","7,90",41.0,62.0,64.0,"6,88",33.0,"7,50",10,N,"4,20","5,24",,0,0,1,2,1,,ACUG1035,ACUICULTURA ORNAMENTAL
201420603,ACUG1035,AP,1,90,90,"9,00","7,90",59.0,61.0,69.0,"7,14",49.0,"7,67",15,N,"4,66","4,28",,1,0,2,0,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201611589,ACUG1035,AP,1,78,86,"8,20","7,90",40.0,62.0,66.0,"6,89",34.0,"7,60",10,N,"2,35","5,32",,0,2,1,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201606837,ACUG1035,AP,1,91,92,"9,15","7,90",45.0,70.0,73.0,"7,68",41.0,"7,93",10,N,"5,05","5,38",,0,0,2,1,0,,ACUG1035,ACUICULTURA ORNAMENTAL
201222292,ACUG1035,AP,1,76,84,"8,00","7,90",41.0,65.0,64.0,"6,79",34.0,"7,82",11,N,"1,90",,,0,1,1,0,1,,ACUG1035,ACUICULTURA ORNAMENTAL
201404731,ACUG1036,AP,1,77,62,"7,50","6,74",46.0,56.0,64.0,"6,67",34.0,"7,53",13,S,"4,62","2,34","4,45",0,2,0,0,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201705837,ACUG1036,AP,1,62,84,"7,51","6,74",36.0,64.0,59.0,"6,72",29.0,"7,57",8,N,"2,96","4,62",,0,0,1,1,1,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201413828,ACUG1036,AP,1,84,65,"8,03","6,74",45.0,61.0,71.0,"7,22",40.0,"7,65",11,S,"3,74",,,0,0,0,1,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201915162,ACUG1036,AP,1,94,93,"9,45","6,74",18.0,88.0,80.0,"8,42",17.0,"8,71",5,N,"3,50",,,0,0,0,1,3,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201700085,ACUG1036,AP,1,88,84,"8,81","6,74",32.0,57.0,53.0,"6,07",21.0,"7,50",8,N,"3,43","2,34",,0,0,1,1,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202002440,ACUG1036,AP,1,89,79,"8,61","6,74",15.0,79.0,71.0,"7,72",15.0,"7,72",5,N,,,,0,0,0,2,3,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201314211,ACUG1036,AP,1,68,64,"7,32","6,74",52.0,50.0,56.0,"6,23",38.0,"7,44",14,N,"2,66","4,00",,0,2,0,1,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
202001186,ACUG1036,AP,1,88,83,"8,89","6,74",14.0,86.0,78.0,"8,47",14.0,"8,47",4,N,,,,0,0,0,2,2,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201301138,ACUG1036,AP,1,69,62,"7,34","6,74",57.0,50.0,58.0,"6,27",41.0,"6,98",17,N,"4,46","4,35",,0,2,0,1,1,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201802832,ACUG1036,AP,1,75,91,"8,75","6,74",32.0,63.0,63.0,"6,84",28.0,"7,25",9,N,"4,00",,,0,0,0,1,5,,ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS
201404731,ACUG1039,AP,1,89,96,"9,47","8,32",46.0,56.0,64.0,"6,67",34.0,"7,53",13,S,"4,62","2,34","4,45",0,2,0,0,2,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
201409109,ACUG1039,AP,1,79,78,"8,43","8,32",66.0,58.0,67.0,"6,98",56.0,"7,50",15,N,"4,06",,,0,1,0,1,0,,ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES
