CODIGOMATERIA,CLASIFMATERIA,MATERIA,ANIO,TERMINO,DIFICULTAD
ACUG1035,G,ACUICULTURA ORNAMENTAL,2020,0S,"8,52"
ACUG1036,G,ANÁLISIS DE DATOS ACUÍCOLAS,2020,0S,"7,72"
ACUG1039,G,CULTIVO DE ESPECIES NO TRADICIONALES,2020,0S,"8,63"
ACUG1040,G,CULTIVO DE PLANCTON,2020,0S,"8,25"
ACUG1041,G,ECOSISTEMAS ACUÍCOLAS,2020,0S,"7,41"
ACUG1042,G,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,2020,0S,"8,38"
ACUG1043,G,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,2020,0S,"7,90"
ACUG1045,G,PRODUCCIÓN ACUÍCOLA II,2020,0S,"8,32"
ACUG1046,G,PRODUCCIÓN ACUICOLA I,2020,0S,"8,62"
ACUG1047,G,PISCICULTURA,2020,0S,"8,78"
ACUG1048,G,SISTEMAS ACUÍCOLAS,2020,0S,"8,38"
ACUG1049,G,INGENIERÍA PARA LA ACUICULTURA II,2020,0S,"6,79"
ACUG1050,G,INGENIERÍA PARA LA ACUICULTURA I,2020,0S,"6,74"
ACUG1051,G,NUTRICIÓN ACUÍCOLA,2020,0S,"7,89"
ACUG1052,G,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,2020,0S,"8,46"
ACUG1053,G,MANEJO ACUÍCOLA,2020,0S,"7,19"
ACUG1054,G,INTRODUCCIÓN A LA ACUICULTURA,2020,0S,"7,90"
ACUG1055,G,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,2020,0S,"8,33"
ACUG1056,G,PATOLOGÍA ACUÍCOLA II,2020,0S,"7,85"
ACUG1057,G,PATOLOGÍA ACUÍCOLA I,2020,0S,"8,11"
ACUG1058,T,MATERIA INTEGRADORA DE ACUICULTURA,2020,0S,"9,47"
ACUG1059,G,BUENAS PRÁCTICAS EN ACUICULTURA,2020,0S,"8,84"
ADMG1005,G,EMPRENDIMIENTO E INNOVACIÓN,2020,0S,"8,18"
ADMG1006,G,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,2020,0S,"7,92"
ADMG1007,G,ESTRATEGIAS DE GESTIÓN,2020,0S,"7,84"
ADMG2001,G,EMPRENDIMIENTO E INNOVACIÓN,2017,1S,"7,82"
ADMG2022,G,ADMINISTRACIÓN DE OPERACIONES,2020,0S,"7,22"
ADMG2024,G,COMERCIO EXTERIOR,2020,0S,"7,63"
ADMG2025,G,COMPORTAMIENTO ORGANIZACIONAL,2020,0S,"8,59"
ADMG2026,G,DESARROLLO ORGANIZACIONAL,2020,0S,"9,13"
ADMG2028,G,ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,2020,0S,"7,66"
ADMG2029,G,FUNDAMENTOS DE ADMINISTRACIÓN,2020,0S,"8,12"
ADMG2030,G,FUNDAMENTOS DE MARKETING,2020,0S,"8,37"
ADMG2031,T,MATERIA INTEGRADORA DE ADMINISTRACIÓN DE EMPRESAS,2020,0S,"9,22"
ADMG2032,G,GESTIÓN COMERCIAL,2020,0S,"8,44"
ADMG2033,G,GESTIÓN DE MARKETING,2020,0S,"8,69"
ADMG2034,G,GESTIÓN DE RECURSOS HUMANOS,2020,0S,"8,50"
ADMG2035,G,INVESTIGACIÓN DE MERCADOS,2020,0S,"7,32"
ADMG2036,G,PLANIFICACIÓN ESTRATÉGICA,2020,0S,"8,37"
ADMG2037,G,GESTIÓN DE PROYECTOS,2020,0S,"8,65"
ADMT3004,G,LIDERAZGO Y EMPRENDIMIENTO,2024,0S,"8,67"
ADMT3005,G,COMERCIO EXTERIOR,2024,0S,"7,89"
ADSG1001,G,INTRODUCCIÓN A LA GESTIÓN AMBIENTAL,2016,1S,"7,65"
ADSG1019,G,CONTAMINACIÓN AMBIENTAL,2020,0S,"8,52"
ADSG1020,G,ECOLOGÍA ACUÁTICA,2020,0S,"8,40"
ADSG1021,G,ECOLOGÍA DE ECOSISTEMAS,2020,0S,"8,72"
ADSG1022,G,ECOLOGÍA GENERAL,2020,0S,"8,22"
ADSG1023,G,REMEDIACIÓN AMBIENTAL,2021,0S,"9,55"
ADSG1024,G,PRINCIPIOS DE ECOTOXICOLOGÍA,2020,0S,"8,30"
ADSG1025,G,"GESTIÓN DE CALIDAD, AMBIENTE Y SEGURIDAD EN LA INDUSTRIA",2020,0S,"7,99"
