"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"202010070","2020","2S",6,46.50
"202010120","2020","2S",6,40.50
"202010625","2020","2S",6,39.00
"202011797","2020","2S",6,37.20
"202011813","2020","2S",6,38.70
"202012241","2020","2S",6,37.50
"202012357","2020","2S",6,37.50
"202012621","2020","2S",6,38.70
"202013454","2020","2S",6,41.40
"202013587","2020","2S",6,46.50
"202010096","2020","2S",12,81.78
"202010583","2020","2S",12,88.50
"202010732","2020","2S",12,93.66
"202010765","2020","2S",12,98.70
"202010815","2020","2S",12,81.48
"202010849","2020","2S",12,76.86
"202010948","2020","2S",12,97.98
"202011078","2020","2S",12,98.10
"202011292","2020","2S",12,91.20
"202011342","2020","2S",12,77.16
"202011383","2020","2S",12,75.06
"202011565","2020","2S",12,84.78
"202011698","2020","2S",12,78.00
"202011722","2020","2S",12,103.68
"202011789","2020","2S",12,83.70
"202011821","2020","2S",12,83.40
"202011862","2020","2S",12,91.50
"202011946","2020","2S",12,81.90
"202011961","2020","2S",12,80.58
"202012027","2020","2S",12,82.20
"202012183","2020","2S",12,87.36
"202012209","2020","2S",12,81.48
"202012886","2020","2S",12,78.06
"202013124","2020","2S",12,77.76
"202013249","2020","2S",12,101.16
"202013314","2020","2S",12,82.86
"202013348","2020","2S",12,96.00
"202013421","2020","2S",12,82.98
"202013561","2020","2S",12,75.78
"202013637","2020","2S",12,79.38
"202013645","2020","2S",12,75.18
"202013777","2020","2S",12,79.56
"202010054","2020","2S",18,126.36
"202010302","2020","2S",18,141.00
"202010351","2020","2S",18,119.28
"202010633","2020","2S",18,122.40
"202010690","2020","2S",18,121.38
"202011201","2020","2S",18,120.36
"202011763","2020","2S",18,140.58
"202011896","2020","2S",18,116.28
"202011904","2020","2S",18,131.28
"202012126","2020","2S",18,111.48
"202012274","2020","2S",18,130.20
"202013058","2020","2S",18,122.40
"202013470","2020","2S",18,137.58
"202013702","2020","2S",18,141.60
"202013728","2020","2S",18,128.16
"200124667","2020","2S",21,45.50
