"COD_ESTUDIANTE","ANIO","TERMINO","DENOMINADOR","NUMERADOR"
"202404950","2024","1S",15,106.35
"202307997","2024","1S",18,121.77
"202313037","2024","1S",24,144.30
"202400255","2024","1S",24,180.15
"202400628","2024","1S",24,156.96
"202400701","2024","1S",24,189.54
"202402301","2024","1S",24,156.06
"202402327","2024","1S",24,148.05
"202403069","2024","1S",24,152.46
"202403903","2024","1S",24,183.78
"202407045","2024","1S",24,190.92
"202206975","2024","1S",27,34.74
"202212791","2024","1S",27,164.61
"202303327","2024","1S",27,198.45
"202318705","2024","1S",27,141.21
"202400156","2024","1S",27,196.38
"202400271","2024","1S",27,169.92
"202400305","2024","1S",27,190.35
"202400321","2024","1S",27,168.48
"202400867","2024","1S",27,157.86
"202400875","2024","1S",27,94.77
"202400917","2024","1S",27,173.79
"202400974","2024","1S",27,190.44
"202401147","2024","1S",27,178.11
"202401238","2024","1S",27,146.70
"202401253","2024","1S",27,193.32
"202401451","2024","1S",27,70.83
"202401493","2024","1S",27,137.07
"202401527","2024","1S",27,162.36
"202401568","2024","1S",27,168.30
"202401675","2024","1S",27,117.36
"202401709","2024","1S",27,149.85
"202401758","2024","1S",27,220.68
"202401907","2024","1S",27,138.42
"202401964","2024","1S",27,151.11
"202402038","2024","1S",27,206.28
"202402103","2024","1S",27,130.41
"202402491","2024","1S",27,153.81
"202402517","2024","1S",27,134.91
"202402541","2024","1S",27,144.63
"202402558","2024","1S",27,162.18
"202402608","2024","1S",27,152.55
"202402707","2024","1S",27,212.58
"202402749","2024","1S",27,206.37
"202402780","2024","1S",27,180.54
"202402814","2024","1S",27,168.66
"202402848","2024","1S",27,94.95
"202402889","2024","1S",27,198.54
"202403168","2024","1S",27,208.80
"202403200","2024","1S",27,198.18
"202403283","2024","1S",27,171.18
"202403549","2024","1S",27,131.58
"202403663","2024","1S",27,171.09
"202403838","2024","1S",27,209.34
"202403986","2024","1S",27,162.27
"202404182","2024","1S",27,185.31
"202404455","2024","1S",27,169.56
"202404547","2024","1S",27,172.08
"202404711","2024","1S",27,190.80
"202404802","2024","1S",27,183.69
"202404943","2024","1S",27,164.85
"202405031","2024","1S",27,110.07
"202405049","2024","1S",27,200.16
"202405205","2024","1S",27,213.39
"202405353","2024","1S",27,183.96
"202405544","2024","1S",27,162.90
"202405940","2024","1S",27,186.39
"202406161","2024","1S",27,134.67
"202406195","2024","1S",27,196.92
"202406278","2024","1S",27,140.04
"202406310","2024","1S",27,166.86
"202406369","2024","1S",27,183.69
"202406377","2024","1S",27,193.14
"202406427","2024","1S",27,186.93
"202406435","2024","1S",27,164.88
"202406484","2024","1S",27,150.21
"202406633","2024","1S",27,170.91
"202406658","2024","1S",27,186.39
"202406815","2024","1S",27,152.73
"202406831","2024","1S",27,196.02
"202406864","2024","1S",27,215.10
"202406898","2024","1S",27,67.23
"202407037","2024","1S",27,166.32
"202407102","2024","1S",27,193.59
"202407169","2024","1S",27,206.55
"202407516","2024","1S",27,224.73
"202407581","2024","1S",27,159.30
"202407730","2024","1S",27,188.37
"202408431","2024","1S",27,198.00
"202408449","2024","1S",27,207.99
"202408514","2024","1S",27,235.62
"202408688","2024","1S",27,120.60
"202408696","2024","1S",27,222.57
"202408753","2024","1S",27,138.42
"202408787","2024","1S",27,193.41
"202408795","2024","1S",27,239.31
"202408894","2024","1S",27,225.99
"202408902","2024","1S",27,174.42
"202409165","2024","1S",27,80.28
"202409173","2024","1S",27,222.93
"202409397","2024","1S",27,235.35
"198903122","2024","1S",30,1.86
"202400057","2024","1S",30,74.28
"202400495","2024","1S",30,222.24
"202401477","2024","1S",30,233.94
"202401618","2024","1S",30,210.42
"202401766","2024","1S",30,197.67
"202402277","2024","1S",30,188.94
"202405171","2024","1S",30,221.58
"202406062","2024","1S",30,185.40
"202406906","2024","1S",30,228.84
"202407268","2024","1S",30,255.60
"202408837","2024","1S",30,211.62
"202409280","2024","1S",30,255.60
"202400016","2024","1S",33,263.55
"202400024","2024","1S",33,289.98
"202400081","2024","1S",33,252.18
"202400115","2024","1S",33,236.73
"202400123","2024","1S",33,275.46
"202400263","2024","1S",33,189.75
"202400347","2024","1S",33,188.73
"202400370","2024","1S",33,277.62
"202400388","2024","1S",33,201.69
"202400404","2024","1S",33,265.71
"202400503","2024","1S",33,303.81
"202400529","2024","1S",33,276.57
"202400545","2024","1S",33,264.60
"202400560","2024","1S",33,245.64
"202400578","2024","1S",33,259.95
"202400644","2024","1S",33,253.59
"202400735","2024","1S",33,259.92
"202400743","2024","1S",33,280.44
"202401055","2024","1S",33,246.03
"202401113","2024","1S",33,230.64
"202401212","2024","1S",33,178.74
"202401287","2024","1S",33,209.94
"202401311","2024","1S",33,161.94
"202401410","2024","1S",33,250.86
"202401626","2024","1S",33,293.94
"202401816","2024","1S",33,245.97
"202401881","2024","1S",33,287.82
"202401923","2024","1S",33,279.45
"202402012","2024","1S",33,269.43
"202402244","2024","1S",33,183.24
"202402293","2024","1S",33,254.49
"202402319","2024","1S",33,264.00
"202402400","2024","1S",33,238.20
"202402426","2024","1S",33,220.41
"202402475","2024","1S",33,232.44
"202402509","2024","1S",33,268.14
"202402525","2024","1S",33,200.73
"202402590","2024","1S",33,269.49
"202402764","2024","1S",33,212.82
"202402897","2024","1S",33,300.45
"202403051","2024","1S",33,253.56
"202403119","2024","1S",33,245.79
"202403127","2024","1S",33,256.47
"202403176","2024","1S",33,268.23
"202403267","2024","1S",33,261.87
"202403341","2024","1S",33,283.71
"202403390","2024","1S",33,256.05
"202403523","2024","1S",33,195.78
"202403606","2024","1S",33,244.14
"202403614","2024","1S",33,257.40
"202403705","2024","1S",33,245.25
"202403739","2024","1S",33,257.34
"202403887","2024","1S",33,223.02
"202403911","2024","1S",33,194.19
"202404034","2024","1S",33,246.54
"202404083","2024","1S",33,241.38
