CODIGOMATERIA,MATERIA_x,REPROBADOS,REGISTRADOS,TASA_RP,CLASIFMATERIA,MATERIA_y,ANIO,TERMINO,DIFICULTAD
DING2037,PORTAFOLIO,4,74,"5,41",G,PORTAFOLIO,2022,0S,"8,08"
ACUG1035,ACUICULTURA ORNAMENTAL,1,104,"0,96",G,ACUICULTURA ORNAMENTAL,2020,0S,"8,52"
ACUG1036,ANÁLISIS DE DATOS ACUÍCOLAS,2,91,"2,20",G,ANÁLISIS DE DATOS ACUÍCOLAS,2020,0S,"7,72"
ACUG1039,CULTIVO DE ESPECIES NO TRADICIONALES,1,80,"1,25",G,CULTIVO DE ESPECIES NO TRADICIONALES,2020,0S,"8,63"
ACUG1040,CULTIVO DE PLANCTON,1,68,"1,47",G,CULTIVO DE PLANCTON,2020,0S,"8,25"
ACUG1041,ECOSISTEMAS ACUÍCOLAS,5,74,"6,76",G,ECOSISTEMAS ACUÍCOLAS,2020,0S,"7,41"
ACUG1042,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,2,70,"2,86",G,FUNDAMENTOS DE INGENIERÍA ACUÍCOLA,2020,0S,"8,38"
ACUG1043,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,7,116,"6,03",G,HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,2020,0S,"7,90"
ACUG1045,PRODUCCIÓN ACUÍCOLA II,2,121,"1,65",G,PRODUCCIÓN ACUÍCOLA II,2020,0S,"8,32"
ACUG1046,PRODUCCIÓN ACUICOLA I,0,99,"0,00",G,PRODUCCIÓN ACUICOLA I,2020,0S,"8,62"
ACUG1047,PISCICULTURA,0,90,"0,00",G,PISCICULTURA,2020,0S,"8,78"
ACUG1048,SISTEMAS ACUÍCOLAS,0,96,"0,00",G,SISTEMAS ACUÍCOLAS,2020,0S,"8,38"
ACUG1049,INGENIERÍA PARA LA ACUICULTURA II,4,90,"4,44",G,INGENIERÍA PARA LA ACUICULTURA II,2020,0S,"6,79"
ACUG1050,INGENIERÍA PARA LA ACUICULTURA I,24,105,"22,86",G,INGENIERÍA PARA LA ACUICULTURA I,2020,0S,"6,74"
ACUG1051,NUTRICIÓN ACUÍCOLA,3,89,"3,37",G,NUTRICIÓN ACUÍCOLA,2020,0S,"7,89"
ACUG1052,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,0,64,"0,00",G,MORFOLOGÍA Y FISIOLOGÍA DE ORGANISMOS ACUÍCOLAS,2020,0S,"8,46"
ACUG1053,MANEJO ACUÍCOLA,2,58,"3,45",G,MANEJO ACUÍCOLA,2020,0S,"7,19"
ACUG1054,INTRODUCCIÓN A LA ACUICULTURA,2,68,"2,94",G,INTRODUCCIÓN A LA ACUICULTURA,2020,0S,"7,90"
ACUG1055,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,1,82,"1,22",G,PROBLEMAS DE LA ACTUALIDAD ACUÍCOLA,2020,0S,"8,33"
ACUG1056,PATOLOGÍA ACUÍCOLA II,2,85,"2,35",G,PATOLOGÍA ACUÍCOLA II,2020,0S,"7,85"
ACUG1057,PATOLOGÍA ACUÍCOLA I,0,70,"0,00",G,PATOLOGÍA ACUÍCOLA I,2020,0S,"8,11"
ACUG1058,MATERIA INTEGRADORA DE ACUICULTURA,0,123,"0,00",T,MATERIA INTEGRADORA DE ACUICULTURA,2020,0S,"9,47"
ACUG1059,BUENAS PRÁCTICAS EN ACUICULTURA,2,87,"2,30",G,BUENAS PRÁCTICAS EN ACUICULTURA,2020,0S,"8,84"
ADMG1005,EMPRENDIMIENTO E INNOVACIÓN,155,7747,"2,00",G,EMPRENDIMIENTO E INNOVACIÓN,2020,0S,"8,18"
ADMG1006,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,2,165,"1,21",G,GESTIÓN DE PROYECTOS Y REGULACIÓN EN TELECOMUNICACIONES,2020,0S,"7,92"
ADMG1007,ESTRATEGIAS DE GESTIÓN,2,176,"1,14",G,ESTRATEGIAS DE GESTIÓN,2020,0S,"7,84"
ADMG2022,ADMINISTRACIÓN DE OPERACIONES,133,900,"14,78",G,ADMINISTRACIÓN DE OPERACIONES,2020,0S,"7,22"
ADMG2024,COMERCIO EXTERIOR,3,429,"0,70",G,COMERCIO EXTERIOR,2020,0S,"7,63"
ADMG2025,COMPORTAMIENTO ORGANIZACIONAL,9,917,"0,98",G,COMPORTAMIENTO ORGANIZACIONAL,2020,0S,"8,59"
